     atm_u           atm_v           atm_T           atm_q           R_net     
-4.27598298E-01  7.19730902E+00  2.92250000E+02  1.02534266E-02  -4.84906662E+01
-4.91091400E-01  7.59413815E+00  2.92220001E+02  1.02600353E-02  -4.84319996E+01
-1.82749942E-01  7.47776747E+00  2.92199982E+02  1.02529973E-02  -4.83733330E+01
-2.84069657E-01  7.39454556E+00  2.92179993E+02  1.02668591E-02  -4.83146664E+01
-4.65190202E-01  7.60578680E+00  2.92169983E+02  1.02668591E-02  -4.82559998E+01
-6.54538870E-01  7.48142242E+00  2.92139984E+02  1.02599291E-02  -4.81973331E+01
-6.60270989E-01  7.70174932E+00  2.92119995E+02  1.02735749E-02  -4.81386665E+01
-6.00690544E-01  7.46587324E+00  2.92130005E+02  1.02797560E-02  -4.80799999E+01
-5.54841936E-01  7.37916994E+00  2.92119995E+02  1.02800783E-02  -4.80213333E+01
-6.75212145E-01  7.41933870E+00  2.92109985E+02  1.02799702E-02  -4.79626667E+01
-6.63429976E-01  7.28987408E+00  2.92100006E+02  1.02800783E-02  -4.79040001E+01
-7.11253941E-01  7.66707993E+00  2.92079987E+02  1.02871172E-02  -4.78453335E+01
-7.33668804E-01  7.22283459E+00  2.92070007E+02  1.02867950E-02  -4.77866669E+01
-5.67257106E-01  7.20771265E+00  2.92029999E+02  1.02601424E-02  -4.77280003E+01
-8.17520261E-01  7.40500927E+00  2.92010010E+02  1.02864727E-02  -4.76693336E+01
-9.24957335E-01  7.32180691E+00  2.92010010E+02  1.02869021E-02  -4.76106670E+01
